term_str,PC0,PC1,PC2,PC3,PC4
academy,-1.6444562539578498e-05,-3.098580895202262e-05,5.949185570918018e-05,-1.147363446098171e-05,-1.7489188376431768e-05
accept,0.00012560038680344487,6.969152915170697e-06,-2.828337765047759e-05,-3.192361431005493e-05,-3.019902351800154e-05
acceptance,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
accepted,-7.344819031249193e-05,0.00018682816116724122,-1.2462132963432637e-06,-2.4643670892987592e-05,-5.08832767851564e-05
access,-7.928414555517577e-06,-1.3576932814117509e-05,-1.7396337793241638e-05,-1.529887540016259e-05,7.386564149086249e-07
accident,-1.90699399567171e-05,-3.362473030347804e-05,-4.023227080357307e-05,-4.240469167883577e-05,9.67424762516055e-06
accidents,-2.469295258343545e-05,-4.426175839075592e-05,-5.7862429596989346e-05,-7.179253995658845e-05,2.6144442012335766e-05
accommodating,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accommodations,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accompanied,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accomplish,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accomplished,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accord,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
accordance,-7.701796971080249e-06,-1.3302071444386432e-05,-2.118298283289607e-05,-1.3966243667950595e-05,-3.9096045353798374e-05
according,-7.195006337380369e-06,-1.2793840901311246e-05,-1.6387899107835544e-05,-1.6466445877440998e-05,1.1400043788932677e-06
accumulating,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
accurate,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
accuse,-8.740419975390173e-06,-1.5985066980022623e-05,-2.5230472845474032e-05,-3.9275398979919814e-05,-6.820572682755698e-05
ace,-9.645741042459956e-06,-1.5965372851838048e-05,-2.0575159724583076e-05,-1.1130128108385491e-05,1.20509134788528e-06
achieve,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
achieved,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
achilles,-1.5856829111035153e-05,-2.7153865628235018e-05,-3.4792675586483276e-05,-3.059775080032518e-05,1.4773128298172499e-06
aching,-7.701796971080249e-06,-1.3302071444386432e-05,-2.118298283289607e-05,-1.3966243667950595e-05,-3.9096045353798374e-05
acid,-3.850898485540707e-05,-6.651035722194218e-05,-0.00010591491416449632,-6.983121833976348e-05,-0.0001954802267690213
acorn,-0.00018174108721299924,0.0005387255238184899,4.708069883261671e-05,1.1706950796257579e-05,-1.605077704148287e-06
acornmice,-9.087054360649962e-05,0.00026936276190924494,2.3540349416308355e-05,5.8534753981287895e-06,-8.025388520741435e-07
acorns,-0.00018174108721299924,0.0005387255238184899,4.708069883261671e-05,1.1706950796257579e-05,-1.605077704148287e-06
across,-1.803816080002901e-05,-3.3906548693952324e-05,2.2873387181243866e-05,-3.8467731535424294e-05,0.00016584802827423787
act,-2.4070374983752818e-05,-4.5948942401552826e-05,4.4488661949369706e-05,4.412649247145833e-05,-2.0388955862149613e-05
acting,-2.070150462437926e-05,-3.745595327756179e-05,-6.0705821149717595e-06,-3.49901615326059e-05,-3.916031086400821e-05
action,-2.8070383725800596e-05,-5.0354564703774884e-05,-7.532883531771388e-05,4.727185574267171e-05,2.6693367400660483e-05
actions,-7.568240327884655e-06,-1.3095565478678627e-05,-1.612669439406123e-05,-1.597440397537854e-05,4.060482846244693e-06
actress,-3.074304914599671e-05,-5.1916701448180636e-05,-6.113700287678499e-05,-4.849589077539312e-05,5.7472450857512875e-06
actually,-4.759773915049758e-05,-9.1306829395182e-05,0.00016836397345879492,-1.3685480700090727e-05,-3.2004445685511844e-06
add,-9.645741042459956e-06,-1.5965372851838048e-05,-2.0575159724583076e-05,-1.1130128108385491e-05,1.20509134788528e-06
